train_size,strategy,budget,n_eval,correct,accuracy,has_final_marker_count,has_final_marker_rate,answer_format_ok_count,answer_format_ok_rate,missing_final_marker_count,malformed_final_marker_count,train_gpu_hours,train_cost_usd,model_tokens_per_sample,judge_model,judge_input_tokens,judge_output_tokens,inference_cost_per_query_usd,total_cost_usd_at_1000,total_cost_usd_at_10000,total_cost_usd_at_100000,total_cost_usd_at_1000000,token_estimation_method
0,greedy,1,50,34,0.68,45,0.9,45,0.9,5,0,0.0,0.0,316,,0,0,5.688e-05,0.05688,0.5688,5.688,56.88,char_heuristic_4
0,sc,4,50,38,0.76,42,0.84,42,0.84,8,0,0.0,0.0,302,,0,0,0.00021744,0.21744,2.1744,21.744,217.44,char_heuristic_4
0,sc,8,50,38,0.76,39,0.78,39,0.78,11,0,0.0,0.0,313,,0,0,0.00045072,0.45072,4.5072,45.072,450.72,char_heuristic_4
100,greedy,1,50,19,0.38,50,1.0,49,0.98,0,1,0.03,0.112,180,,0,0,3.24e-05,0.1444,0.436,3.352,32.512,char_heuristic_4
100,sc,4,50,23,0.46,50,1.0,49,0.98,0,1,0.03,0.112,171,,0,0,0.00012312,0.23512,1.3432,12.424,123.232,char_heuristic_4
100,sc,8,50,26,0.52,50,1.0,50,1.0,0,0,0.03,0.112,173,,0,0,0.00024912,0.36112,2.6032,25.024,249.232,char_heuristic_4
500,greedy,1,50,27,0.54,50,1.0,50,1.0,0,0,0.125,0.55,193,,0,0,3.474e-05,0.58474,0.8974,4.024,35.29,char_heuristic_4
500,sc,4,50,32,0.64,50,1.0,50,1.0,0,0,0.125,0.55,195,,0,0,0.0001404,0.6904,1.954,14.59,140.95,char_heuristic_4
500,sc,8,50,35,0.7,50,1.0,50,1.0,0,0,0.125,0.55,193,,0,0,0.00027792,0.82792,3.3292,28.342,278.47,char_heuristic_4
